LapID,LapTypeID,PlaceName,PlaceNameID,AreaID,LapName,Strava,LapStart,LapFinish,LapDistCyclo,LapDistMap,LapDistGPS,UpperAltMap,LowerAltMap,ExtraAltMap,UpperAltGPS,LowerAltGPS,LapNotes,LapMap,Gen_LapMap,Gen_LapNotes,s_ColLineage,s_Generation,s_GUID,s_Lineage
-182739752,1,Adelaide,,,Pole Rd Sth to Morgan,,creek,Morgan,2.88,,,470,330,,,,,,76,76,,76,,
287,1,Adelaide,,,Potter Rd past Formby,,Formby Rd,Turners Gully,,1.24,,320,270,,,,,,1,1,,1,,
271,1,Adelaide,,,Potter to Formby,Potter Rd to Formby,Kangarilla Rd,Formby Rd,,1.25,,280,160,,,,,,1,1,,1,,
58,1,Adelaide,,,Pound Rd,Knotts Hill and Pound Road,Bridge at bottom,Montacute Rd,,2.48,,540,330,,,,,,1,1,,1,,
321,3,Adelaide,,,Priory-Goolwa,,Priory,Goolwa 50Km/Hr sign on Strath Rd,70.43,,,,,,,,,,1,1,,1,,
243,2,Adelaide,,,Prospect Hill 28-5-4,,,,,5.06,,,,,,,,,1,1,,1,,
31,2,Adelaide,,,Prospect Hill Winter 02,,,,,6.25,,,,,,,,,1,1,,1,,
200,2,Adelaide,,,Prospect Hill Winter 03,,,,,6.48,,,,,,,,,1,1,,1,,
-2092551476,2,Adelaide,,,Prospect Hill XC W 07,,,,,,,,,,,,,,,,,0,,
-1241489825,1,Adelaide,,,Queen Jubilee Drive short,,Gate,Ballast Track,,,,,,,,,,,,,,0,,
-1177654542,1,Adelaide,,,Queen Jubillee Drive long,,gate,gate,,3.86,,470,310,,,,,,17,17,,0,,
2071369214,-1542396693,Anywhere,,,R - Tinman,,0,3km,3,3,,,,,,,,,40,40,,40,,
241,1,Adelaide,,,Railway Station Hill (belair pk),,end of bridge at bottom,start of bridge at top,,1.42,,,,,,,,,1,1,,1,,
254,1,Adelaide,,,Range Rd,,Lobethal Rd,sign on left before Basket Range Rd,2.08,2.13,,540,450,,,,,,1,1,,1,,
252,8,Adelaide,,,Range Rd to Gores Rd,,End of Range Rd Lap,Start of Gores Rd Lap,3.72,,,,,,,,,,1,1,,1,,
286,1,Adelaide,,,Red Hill Rd,,Bottom driveway,Longwood Rd,1.53,1.54,,455,340,,,,,,1,1,,1,,
315,8,Adelaide,,,Red Hill to Aldgate Valley,,end of Red Hill lap,start of Aldgate Valley lap,5.52,,,,,,,,,,1,1,,1,,
4,11,Adelaide,,,Regency Crit,,,,,0,,,,,,,,,1,1,,1,,
-1557152522,3,Riverland,,,RiverviewReps 1,,Clarke Rd,Martin Bend Rd,1.63,,,,,,,,,,,,,90,,
-2102838465,3,Riverland,,,RiverviewReps 2,,Martin Bend Rd,Fenwick Rd,1.37,,,,,,,,,,,,,90,,
5,5,Adelaide,,,Road Race,,,,,0,,,,,,,,,1,1,,111,,
-396140720,-1542396693,Anywhere,,,S - TinMan,,0,300m,0.3,0.3,,,,,,,,,40,40,,40,,
240,1,Adelaide,,,Saddle Hill,,bridge at bottom,white posts past termite mound on left (3/4 to top,,1.04,,,,,,,,,1,1,,1,,
52,7,Adelaide,,,SCP,,,,,5,,,,,,,Lap of Scott Conservation Park fire track.,,1,1,,1,,
193,1,Adelaide,,,Sedan Hill,,Dirt Rd to south at bottom,Altitude 389m,,2.79,,,,,,,,,1,1,,1,,
262,8,Adelaide,,,Sheoak - Belair NW Gate to steep,,end of Belair NW Gate lap,start of Sheoak steep lap,1.56,,,310,300,,,,,,1,1,,1,,
263,1,Adelaide,,,Sheoak - steep,,20% sign,start of 1st traffic chicane,0.55,0.48,,400,310,,,,,,1,1,,1,,
257,1,Adelaide,,,Sheoak Rd - steep to Waverley Lodge,,,Entrance to Park,2.19,2.27,,470,400,,,,,,1,1,,1,,
258,1,Adelaide,,,Sheoak Rd - Waverley Lodge to Upper Sturt,,Entrance to Park,,1.96,1.95,,560,470,,,,,,1,1,,1,,
247,2,Broken Hill,,,Silverton XC,,,,6.68,,,,,,,,,,1,1,,1,,
20,1,Adelaide,,,Skye,,Roundabout,Car park,,1.29,,320,165,,,,,,1,1,,1,,
697277671,1,Adelaide,,,Snake Gully South,,bottom,Seaview Road,,0.97,,280,180,,,,,,,,,0,,
-1395818596,1,Riverland,,,Spendiff Hill,,Winkie Rd,?? Acres,0.812,,,61,50,,,,,,,,,90,,
307,1,Adelaide,,,Spring Gully Rd,,creek,bus stop,1.26,1.25,,510,420,,,,,,1,1,,1,,
1822216816,1,Adelaide,,,Station Rd,,bottom,Upper Sturt Rd,,0.39,,460,420,,,,,,17,17,,17,,
194,1,Adelaide,,,Stentiford Rd,,Bridge on Stentifords,Saddle about 500m from Lobethal Rd,,1.86,,500,390,,,,,,1,1,,1,,
64,10,Adelaide,,,Stockfp,,,,,2.95,,460,340,,,,,,1,1,,1,,
43,6,Adelaide,,,Strength Endurance,,,,,0,,,,,,,,,1,1,,1,,
1287393542,1,Adelaide,,,Sturt Valley - Manoah,,Sturt River,Upper Sturt Rd,1.069,0.99,,460,360,,,,,,,,,111,,
299,1,Adelaide,,,Sturt Valley - Wychwood,,Sturt River,Elmstead,1.25,1.25,,450,360,,,,,,1,1,,1,,
283,1,Adelaide,,,Sturt Valley Rd,Sturt Valley Rd,Heather Rd,Driveway on left with bitumen 'turnoff',1.3,1.37,,480,400,,,,,,1,1,,1,,
1150794028,1,Adelaide,,,Sturt Valley to Evans,,creek near car yard,top,,0.82,,440,370,,,,,,,,,111,,
314,8,Adelaide,,,Sturt Valley to Red Hill,,end of Sturt Valley lap,start of Red Hill lap,7.24,,,,,,,,,,1,1,,1,,
495678634,7,Riverland,,,Sultana-Coles,,Sultana,Start of Coles-Martin Bend lap,,2.13,,,,,,,,,17,17,,17,,
1114599491,3,Riverland,,,Sultana-Spendiff,,Sultana,E end of Spendiff Rd,5.53,,,,,,,,,,,,,11,,
1286806416,1,Adelaide,,,Tanah Merah Rd,,Creek at bottom (before railway bridge),Last saddle before descent and last climb,3.93,4,,480,325,,,,,,17,17,,17,,
28,5,Adelaide,,,The Range 2 Laps,,,,,51,,,,,,,,,1,1,,1,,
29,5,Adelaide,,,The Range 2 Laps + Whickhams Hill,,,,,67,,,,,,,,,1,1,,1,,
1629577002,1,Riverland,,,Thiele Hill,,Intersection sign if approaching Puddletown,driveway on left just over top,1.067,,,40,55,,,,,,,,,90,,
1008314842,3,Riverland,,,Thiele Rd,,Intersection sign ~50m from intersection,Intersection sign ~50m from intersection,7.92,7.97,,,,,,,Can be done in either direction,,,11,,11,,
305,1,Adelaide,,,Thirkell Ave,,Sunnyside Rd,Start of Mt Osmond Lap,0.85,0.8,,210,155,,,,,,1,1,,1,,
313,3,Adelaide,,,Timetrial Red Hill - Mylor,,60 sign on Longwood just after Sturt Valley Rd,Bus stop on Longwood just before Heather,22.7,,,,,,,,Longwood-ScottCk-RedHill-Longwood-Range-Mylor-AldgateValley-Euston-Churinga-Cricklewood-Heathfield-Hender,,1,1,,1,,
46,1,Adelaide,,,Turners Gully Rd,,Creek,Potter Rd,1.68,1.66,,315,190,,,,,,1,1,,1,,
199,3,Adelaide,,,Two-up Time Trial,,Southern Vets Clubhouse,Southern Vets Clubhouse,20,20,,,,,,,,,1,1,,1,,
310,10,Adelaide,,,UpperSturtfp,,end of landing opposite Station Rd,Entrance to the Knoll CP,1.5,1.69,,560,460,,,,,,1,1,,1,,
-182939722,1,Riverland,,,Vaughan Tce,,Walkway across roundabout,Last tree,0.33,,,50,25,,,,,,17,17,,17,,
49,4,Adelaide,,,Victoria Park,,,,,0.8,,,,,,,All bitumen track around Victoria Park,,1,1,,1,,
303,1,Adelaide,,,Watahuna-Main,,Wattle,Flat at top,0.77,0.74,,265,220,,,,,,1,1,,1,,
204,3,Adelaide,,,Waterfall Gully Rd,,sign at bottom,park gate at top,4,3.67,,,,,,,not v accurate,,1,1,,1,,
195,1,Adelaide,,,Waverley Ridge,,Bridge,Queen Jubillee Drive,,1.56,,470,355,,,,,,1,1,,1,,
196,1,Adelaide,,,Whickham's Hill,,Turn off,Intersection,,3.04,,400,190,,,,,,1,1,,1,,
1,1,Adelaide,,,Whitewood Dr,,60 km/hr Sign,Stupidly Steep Driveway before Upper Sturt,,0.95,,470,370,,,,,,1,1,,1,,
289,1,Adelaide,,,Wilpena-Penola,,Yatina on right,Arkaba Rd,,0.95,,490,430,,,,,,1,1,,1,,
16,2,Adelaide,,,Woodhouse Summer 02,,,,,4.3,,,,,,,,,1,1,,1,,
274,1,Adelaide,,,Woods Hill Rd,,Woods Hill Rd turnoff,Coldstore Rd intersection,1.92,1.85,,590,480,,,,,,1,1,,1,,
285,1,Adelaide,,,Woolcock Rd,,Scott Creek Rd turnoff,Longwood Rd,,1.26,,470,360,,,,,,1,1,,1,,
3,2,Anywhere,,,XC Race,,,,,0,,,,,,,,,1,1,,1,,
